TimeUS,RATE-R,ATT-Roll,RATE-P,ATT-Pitch,RATE-Y,ATT-Yaw,RCOU-C1,RCOU-C2,RCOU-C3,RCOU-C4,,,,,,,,
155907621,-38.90882,0.75,29.28061,-2.52,95.10352,157.12,1000,1000,1000,1000,,,,,,,,
156007738,-12.6779,-1.77,45.40344,1.33,87.01256,166.39,1000,1000,1000,1000,,,,,,,,
156107630,-11.21848,-2.34,16.10596,4.58,71.29839,174.32,1000,1000,1000,1000,,,,,,,,
156207735,-8.516716,-2.86,3.647502,5.96,47.88949,180.1,1000,1000,1000,1000,,,,,,,,
156307655,-7.010202,-3.25,-14.21254,5.74,36.61304,184.16,1000,1000,1000,1000,,,,,,,,
156407635,-5.11798,-3.72,-15.65999,4.25,20.15041,187.02,1000,1000,1000,1000,,,,,,,,
156507805,6.615971,-3.58,-8.966462,3.07,7.744575,188.43,1000,1000,1000,1000,,,,,,,,
156607616,7.148197,-2.71,-6.95002,2.47,-11.0365,188.18,1000,1000,1000,1000,,,,,,,,
156707622,-6.395443,-2.74,-19.20798,0.8,-19.16093,186.79,1000,1000,1000,1000,,,,,,,,
156807596,8.828955,-2.66,-14.60778,-0.79,-11.9591,185.13,1000,1000,1000,1000,,,,,,,,
156907621,20.45464,-0.96,-16.69558,-2.27,3.662191,184.83,1000,1000,1000,1000,,,,,,,,
157007634,18.65997,0.99,-16.72486,-3.68,13.87183,185.72,1000,1000,1000,1000,,,,,,,,
157107621,1.237872,2.05,-5.208778,-4.04,3.736001,186.53,1000,1000,1000,1000,,,,,,,,
157207627,-37.40903,-0.3,-22.49396,-6.02,1.272708,186.74,1000,1000,1000,1000,,,,,,,,
157307737,-12.85247,-3.01,7.749859,-6.74,-6.184567,186.58,1000,1000,1000,1000,,,,,,,,
157407736,16.16742,-2.45,19.04693,-5.06,-20.06921,185.02,1000,1000,1000,1000,,,,,,,,
157507793,20.85921,-0.48,17.53055,-3.64,-36.632,182,1000,1000,1000,1000,,,,,,,,
157607618,7.577834,1.08,4.537569,-2.27,-35.19201,178.05,1000,1000,1000,1000,,,,,,,,
157707649,14.66942,1.96,-2.50133,-2.45,-12.68703,175.94,1000,1000,1000,1000,,,,,,,,
157807611,-19.22725,2.56,-38.22596,-3.97,-10.40302,174.79,1000,1000,1000,1000,,,,,,,,
157907577,-64.23808,-2.37,-59.09752,-9.67,19.32636,175.1,1000,1000,1000,1000,,,,,,,,
158007584,-51.49331,-9.43,-42.17831,-14.29,59.15934,180.32,1000,1000,1000,1000,,,,,,,,
158107724,99.59982,-3.64,120.8598,-6.23,24.87789,183.42,1000,1000,1000,1000,,,,,,,,
158207595,-78.98699,-3.33,-51.66997,-3.79,2.39723,184.63,1000,1000,1000,1000,,,,,,,,
158307729,21.01794,-5.87,10.20465,-4.45,-18.93914,184.03,1000,1000,1000,1000,,,,,,,,
158407758,85.52539,-3.9,11.84722,-3.69,32.78873,184.01,1000,1000,1000,1000,,,,,,,,
158507637,7.426015,-1.29,22.88722,-1.74,25.7048,188.73,1000,1000,1000,1000,,,,,,,,
158607765,13.7363,-1.04,9.19066,-2.39,-12.69503,188.87,1000,1000,1000,1000,,,,,,,,
158707568,-11.01896,0.26,-7.271461,-1.39,-4.106326,187.14,1000,1000,1000,1000,,,,,,,,
158807604,5.108981,0.29,7.866897,-1.26,9.076963,188.31,1000,1000,1000,1000,,,,,,,,
158907626,8.178237,0.03,9.157212,-1.61,-12.18336,187.5,1000,1000,1000,1000,,,,,,,,
159007778,-1.094483,-0.01,0.7571366,-1.63,12.83203,187.86,1000,1000,1000,1000,,,,,,,,
159107625,-5.055801,0.11,-5.294605,-1.51,-11.15288,187.81,1000,1000,1000,1000,,,,,,,,
159207720,-2.46906,0.19,-1.079231,-1.45,8.349792,187.54,1000,1000,1000,1000,,,,,,,,
159307614,1.234787,0.2,1.22354,-1.41,-5.418613,187.98,1000,1000,1000,1000,,,,,,,,
159407716,1.468386,0.2,1.629876,-1.46,2.367565,187.45,1000,1000,1000,1000,,,,,,,,
159507729,0.9057537,0.17,0.693696,-1.44,-0.1043473,187.96,1000,1000,1000,1000,,,,,,,,
159607743,0.1033019,0.22,-0.1034333,-1.44,-1.602389,187.46,1000,1000,1000,1000,,,,,,,,
159707722,-0.3517873,0.21,-0.4682962,-1.41,2.811579,187.86,1000,1000,1000,1000,,,,,,,,
159807614,-0.08139525,0.26,-0.447183,-1.39,-3.468829,187.51,1000,1000,1000,1000,,,,,,,,
159907767,-0.1440698,0.27,-0.00537856,-1.36,3.953268,187.75,1000,1000,1000,1000,,,,,,,,
160007643,0.2903385,0.29,0.06252334,-1.35,-4.034553,187.55,1000,1000,1000,1000,,,,,,,,
160107763,0.03428477,0.3,0.2802043,-1.32,4.018053,187.65,1000,1000,1000,1000,,,,,,,,
160207580,0.5143408,0.32,0.1572849,-1.31,-3.695617,187.58,1000,1000,1000,1000,,,,,,,,
160307592,-0.009127573,0.34,0.3651541,-1.28,3.417882,187.57,1000,1000,1000,1000,,,,,,,,
160407728,0.2852829,0.36,0.09719108,-1.26,-2.841236,187.58,1000,1000,1000,1000,,,,,,,,
160507651,-0.1098803,0.38,0.2617119,-1.24,2.435197,187.5,1000,1000,1000,1000,,,,,,,,
160607770,0.1230382,0.39,0.03937889,-1.21,-1.922354,187.57,1000,1000,1000,1000,,,,,,,,
160707752,-0.0593788,0.42,0.1418611,-1.19,1.509704,187.45,1000,1000,1000,1000,,,,,,,,
